symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
3,,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,13495
3,,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,16500
1,,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000,19,26,16500
2,164.0,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500,24,30,13950
2,164.0,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500,18,22,17450
2,,audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250
1,158.0,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710
1,,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875
0,,audi,gas,std,two,sedan,fwd,front,99.5,178.2,67.9,52.0,3053,ohc,five,131,mpfi,3.13,3.4,7.0,160,5500,16,22,17950
2,,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430
0,,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925
0,,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,20970
1,,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.0,55.7,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105
1,150.0,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.0,55.7,3055,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15,22,30760
1,,bmw,gas,std,two,sedan,rwd,front,110.0,193.8,70.6,56.3,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15,22,41315
0,,bmw,gas,std,four,sedan,rwd,front,111.2,197.0,70.6,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15,22,36880
1,,bmw,gas,std,four,sedan,rwd,front,111.2,197.0,70.6,56.3,3450,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15,22,35056
2,,chevrolet,gas,std,two,hatchback,fwd,front,94.5,157.3,63.8,52.0,2040,ohc,four,90,2bbl,3.03,3.11,9.6,68,5500,24,30,5151
2,,chevrolet,gas,std,two,sedan,fwd,front,94.5,157.3,63.8,52.0,2015,ohc,four,90,2bbl,3.03,3.11,9.6,68,5500,24,30,6295
3,,chevrolet,gas,std,two,hatchback,fwd,front,94.5,157.3,63.8,52.0,1990,ohc,four,90,2bbl,3.03,3.11,9.6,68,5500,24,30,6575
2,,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.8,2040,ohc,four,90,2bbl,3.11,3.39,9.6,68,5500,24,30,5572
1,,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2015,ohc,four,90,2bbl,3.11,3.39,9.6,68,5500,24,30,6377
1,192.0,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.8,1985,ohc,four,90,2bbl,3.11,3.39,9.6,68,5500,24,30,6989
0,188.0,dodge,gas,std,two,sedan,fwd,front,93.7,157.3,63.8,50.8,2040,ohc,four,90,2bbl,3.11,3.39,9.6,68,5500,24,30,8189
1,,honda,gas,std,four,hatchback,fwd,front,93.7,150.0,64.0,52.6,2238,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295
1,,honda,gas,std,four,hatchback,fwd,front,96.5,150.0,64.0,52.6,2288,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295
1,121.0,honda,gas,std,two,hatchback,fwd,front,96.5,150.0,64.0,52.6,2304,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7895
0,98.0,honda,gas,std,four,sedan,fwd,front,96.5,150.0,64.0,52.6,2372,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,8845
0,81.0,honda,gas,std,four,sedan,fwd,front,96.5,150.0,64.0,52.6,2465,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,8495
2,118.0,honda,gas,std,four,sedan,fwd,front,96.5,150.0,64.0,52.6,2480,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,10595
